"TELFS2","UNEMPLOYRATE","TEAGE","PEEDUCA","PEMARITL","PTDTRACE","CHILD","TESEX","SEASON","WEEKDAY","GEREG"
"Employed",2.9,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",3.2,58,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Unemployed",4.2,48,"High School Degree","Married","White",1,"male","Winter",0,"West"
"Employed",3.5,43,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",1,"South"
"Not in the labor force",4.2,33,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"West"
"Employed",4.1,54,"High School Degree","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",3.2,39,"High School Degree","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",4.1,42,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",4.3,57,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"Midwest"
"Employed",3.4,58,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter",1,"South"
"Employed",4.1,48,"High School Degree","Not Married","White",1,"male","Winter",0,"Northeast"
"Unemployed",3,58,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.7,36,"High School Degree","Not Married","White",0,"male","Winter",1,"Northeast"
"Employed",4.8,34,"High School Degree","Married","Hispanic",1,"male","Winter",0,"West"
"Employed",5.7,52,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"South"
"Employed",3.5,26,"Bachelor/Master's and above","Not Married","Asian",0,"male","Winter",1,"South"
"Employed",3.5,37,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"South"
"Unemployed",4.2,50,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter",0,"South"
"Employed",3.5,39,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Northeast"
"Employed",4.2,57,"High School Degree","Not Married","White",0,"male","Winter",0,"West"
"Employed",4.2,33,"Bachelor/Master's and above","Married","Asian",0,"male","Winter",0,"West"
"Employed",4.1,51,"High School Degree","Married","White",0,"male","Winter",0,"West"
"Employed",4.2,42,"Less than High School","Not Married","Hispanic",0,"male","Winter",0,"West"
"Employed",5,29,"High School Degree","Not Married","White",0,"female","Winter",0,"West"
"Employed",3.5,42,"Bachelor/Master's and above","Married","Hispanic",1,"male","Winter",0,"Midwest"
"Unemployed",4.2,45,"High School Degree","Not Married","White",0,"male","Winter",1,"West"
"Employed",2.8,38,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Employed",3.5,47,"High School Degree","Married","Hispanic",1,"male","Winter",1,"South"
"Employed",3.3,57,"High School Degree","Married","White",0,"male","Winter",0,"South"
"Employed",4.8,60,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"West"
"Employed",3,58,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"West"
"Employed",4.1,38,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"South"
"Employed",3.5,40,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter",0,"South"
"Not in the labor force",3.5,45,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"South"
"Employed",4.1,34,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Winter",1,"Northeast"
"Employed",3,32,"High School Degree","Married","White",1,"female","Winter",1,"Northeast"
"Not in the labor force",2.9,43,"Less than High School","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",3.7,52,"High School Degree","Married","Black",0,"male","Winter",0,"South"
"Not in the labor force",3.7,25,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"South"
"Employed",3.7,50,"High School Degree","Married","White",1,"female","Winter",1,"South"
"Employed",3.2,30,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Unemployed",4.5,31,"Less than High School","Not Married","Hispanic",1,"female","Winter",0,"West"
"Employed",3,57,"High School Degree","Not Married","White",0,"female","Winter",1,"Northeast"
"Employed",3.4,47,"High School Degree","Not Married","White",1,"female","Winter",1,"South"
"Not in the labor force",4.5,26,"Bachelor/Master's and above","Married","Asian",0,"female","Winter",0,"West"
"Employed",3.7,59,"High School Degree","Married","Black",0,"male","Winter",1,"South"
"Not in the labor force",4.3,35,"Less than High School","Not Married","Black",0,"male","Winter",1,"Midwest"
"Not in the labor force",4.8,59,"High School Degree","Not Married","White",0,"female","Winter",0,"South"
"Employed",3.1,33,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"Northeast"
"Employed",3.5,42,"High School Degree","Not Married","Hispanic",1,"male","Winter",0,"Midwest"
"Employed",4,33,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Northeast"
"Not in the labor force",3.2,56,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",2.8,59,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Not in the labor force",4.1,29,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Employed",4,48,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.4,27,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"South"
"Employed",3.2,25,"High School Degree","Married","Hispanic",1,"female","Winter",0,"Midwest"
"Employed",3.5,43,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",4.1,41,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",4.5,53,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"South"
"Employed",3.2,60,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"Midwest"
"Employed",4.1,58,"High School Degree","Married","White",0,"female","Winter",0,"Midwest"
"Employed",3.4,39,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"South"
"Employed",4,28,"High School Degree","Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.2,27,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.5,58,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Not in the labor force",4.1,27,"High School Degree","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.7,37,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"South"
"Not in the labor force",3.2,56,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"Midwest"
"Not in the labor force",4.1,48,"High School Degree","Not Married","Black",0,"female","Winter",0,"South"
"Employed",4.1,37,"High School Degree","Married","White",1,"male","Winter",0,"Northeast"
"Employed",4.3,34,"High School Degree","Married","White",1,"male","Winter",1,"Midwest"
"Employed",4.8,56,"High School Degree","Not Married","White",0,"male","Winter",0,"South"
"Employed",4.5,32,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"West"
"Not in the labor force",4.2,39,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Employed",3.5,40,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"South"
"Employed",3.4,50,"Bachelor/Master's and above","Married","Asian",0,"female","Winter",0,"South"
"Not in the labor force",4.3,50,"High School Degree","Not Married","White",0,"male","Winter",1,"Midwest"
"Employed",2.5,27,"High School Degree","Not Married","White",0,"male","Winter",1,"Northeast"
"Not in the labor force",4.3,54,"High School Degree","Not Married","Black",1,"female","Winter",0,"Midwest"
"Employed",4.8,29,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"South"
"Not in the labor force",3,52,"High School Degree","Not Married","Hispanic",0,"male","Winter",0,"Northeast"
"Not in the labor force",4.1,56,"High School Degree","Not Married","White",0,"female","Winter",0,"West"
"Employed",4.1,50,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"West"
"Employed",4.2,33,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Not in the labor force",3.5,26,"High School Degree","Married","Hispanic",1,"female","Winter",0,"South"
"Employed",4.2,28,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"West"
"Employed",4.3,40,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Not in the labor force",3.5,48,"High School Degree","Married","White",0,"female","Winter",1,"South"
"Employed",2.9,52,"High School Degree","Not Married","Black",0,"female","Winter",1,"South"
"Employed",5.3,40,"High School Degree","Married","White",1,"female","Winter",1,"South"
"Employed",4.3,36,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Unemployed",4.1,57,"Less than High School","Not Married","White",0,"female","Winter",1,"West"
"Employed",4.3,34,"High School Degree","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",3,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"West"
"Employed",3.5,46,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",3.5,38,"High School Degree","Married","White",1,"male","Winter",1,"South"
"Not in the labor force",4.1,56,"High School Degree","Not Married","White",0,"male","Winter",0,"South"
"Employed",3.5,31,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"Midwest"
"Employed",4.1,57,"High School Degree","Married","White",0,"female","Winter",0,"Midwest"
"Employed",3.7,59,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"South"
"Employed",4.2,45,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Not in the labor force",4.3,33,"High School Degree","Married","White",1,"female","Winter",0,"Midwest"
"Employed",4.3,46,"High School Degree","Married","Hispanic",1,"male","Winter",1,"Midwest"
"Employed",4.1,38,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Northeast"
"Employed",2.8,52,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Employed",4.1,26,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"West"
"Employed",4.3,45,"Bachelor/Master's and above","Not Married","Black",1,"male","Winter",1,"Midwest"
"Employed",2.7,34,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.4,28,"Bachelor/Master's and above","Not Married","Asian",0,"female","Winter",0,"South"
"Employed",4.1,45,"High School Degree","Not Married","Black",0,"male","Winter",1,"Midwest"
"Not in the labor force",4.1,59,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Northeast"
"Employed",3.5,40,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"South"
"Employed",3.5,34,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"South"
"Employed",3,54,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"Northeast"
"Employed",4,43,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Not in the labor force",4.1,41,"High School Degree","Married","White",1,"female","Winter",1,"Northeast"
"Employed",3.5,25,"High School Degree","Not Married","Hispanic",0,"male","Winter",0,"South"
"Employed",3,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.2,41,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"Midwest"
"Employed",3.5,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Unemployed",4.3,56,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"Midwest"
"Employed",4.1,52,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Northeast"
"Employed",3.2,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Not in the labor force",3.5,40,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",3.4,41,"High School Degree","Not Married","White",0,"female","Winter",0,"South"
"Not in the labor force",4.2,40,"High School Degree","Married","White",1,"female","Winter",1,"West"
"Employed",3.5,38,"High School Degree","Not Married","White",1,"female","Winter",0,"South"
"Employed",3.4,25,"Bachelor/Master's and above","Not Married","Black",1,"female","Winter",1,"South"
"Employed",2.9,57,"Less than High School","Married","White",1,"male","Winter",1,"South"
"Not in the labor force",3.5,37,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"South"
"Employed",3.2,45,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",2.3,42,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3,52,"Bachelor/Master's and above","Married","Black",0,"male","Winter",0,"Northeast"
"Employed",3.7,55,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",1,"South"
"Employed",4.3,46,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",4.2,43,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"West"
"Employed",5.7,54,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"South"
"Employed",4.3,58,"High School Degree","Not Married","White",0,"female","Winter",0,"Midwest"
"Not in the labor force",4.2,60,"High School Degree","Married","Asian",1,"male","Winter",1,"West"
"Employed",4.3,56,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"Midwest"
"Employed",3.7,40,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter",1,"Northeast"
"Employed",4.2,51,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"West"
"Employed",3.5,31,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Not in the labor force",3.4,59,"High School Degree","Married","White",0,"female","Winter",0,"South"
"Employed",4.1,29,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"South"
"Employed",4.1,45,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Northeast"
"Employed",5,30,"High School Degree","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",3.5,37,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Employed",4,46,"High School Degree","Married","White",1,"male","Winter",0,"Northeast"
"Employed",4.2,40,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"West"
"Employed",4.2,34,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"West"
"Employed",3.4,39,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Employed",4.3,41,"High School Degree","Married","White",1,"male","Winter",1,"Midwest"
"Employed",3.4,36,"Bachelor/Master's and above","Not Married","Black",1,"female","Winter",1,"South"
"Employed",3.2,38,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Midwest"
"Employed",3.5,33,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.5,38,"Less than High School","Not Married","White",0,"male","Winter",1,"Midwest"
"Unemployed",3.5,39,"Less than High School","Not Married","White",1,"male","Winter",1,"Midwest"
"Employed",3.5,32,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"South"
"Not in the labor force",3.5,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",3,42,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"West"
"Employed",4.1,39,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Employed",2.8,29,"High School Degree","Married","White",1,"male","Winter",0,"West"
"Not in the labor force",3.5,29,"High School Degree","Not Married","Black",1,"female","Winter",1,"South"
"Employed",4.1,33,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"West"
"Employed",3.2,58,"High School Degree","Not Married","White",0,"female","Winter",0,"Midwest"
"Unemployed",4.1,25,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.5,35,"High School Degree","Not Married","White",1,"female","Winter",0,"South"
"Employed",4.5,44,"High School Degree","Married","White",1,"male","Winter",0,"West"
"Employed",3,30,"High School Degree","Not Married","White",1,"female","Winter",0,"West"
"Employed",3.2,32,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",2.7,35,"Less than High School","Not Married","Hispanic",0,"male","Winter",0,"Midwest"
"Employed",2.9,36,"High School Degree","Not Married","White",1,"female","Winter",1,"South"
"Employed",4.5,30,"High School Degree","Not Married","Black",1,"female","Winter",1,"South"
"Employed",4.5,47,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Not in the labor force",3.7,37,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Employed",3.5,33,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",3.5,44,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"Northeast"
"Employed",3.1,34,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",4,50,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter",1,"Northeast"
"Employed",3,58,"Less than High School","Not Married","Hispanic",0,"female","Winter",0,"Northeast"
"Employed",2.9,37,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",1,"South"
"Employed",4.2,54,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter",0,"West"
"Employed",3.5,36,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Not in the labor force",3.5,50,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"Northeast"
"Employed",2.9,57,"High School Degree","Married","White",1,"male","Winter",1,"South"
"Employed",4.8,52,"High School Degree","Not Married","White",0,"female","Winter",1,"West"
"Employed",3.2,50,"High School Degree","Married","White",0,"female","Winter",0,"Midwest"
"Not in the labor force",5.3,55,"High School Degree","Not Married","Black",0,"female","Winter",0,"South"
"Employed",2.7,56,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",1,"Midwest"
"Employed",3.2,34,"High School Degree","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",4.2,54,"Bachelor/Master's and above","Married","Asian",0,"male","Winter",0,"West"
"Employed",3.7,34,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",0,"South"
"Employed",2.8,29,"High School Degree","Married","Hispanic",1,"female","Winter",0,"West"
"Not in the labor force",3.4,56,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"South"
"Not in the labor force",3.5,43,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter",0,"Northeast"
"Employed",4.3,32,"High School Degree","Married","White",1,"male","Winter",0,"Midwest"
"Employed",3,30,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Employed",3.2,41,"High School Degree","Married","White",1,"male","Winter",0,"Midwest"
"Not in the labor force",2.7,34,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",1,"Midwest"
"Employed",3.1,40,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Not in the labor force",4.3,52,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",3.7,31,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"South"
"Employed",4.5,27,"High School Degree","Not Married","Black",1,"male","Winter",0,"South"
"Employed",4.2,53,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"West"
"Employed",3.5,56,"Bachelor/Master's and above","Married","Black",1,"male","Winter",0,"Northeast"
"Employed",4.1,52,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"Midwest"
"Employed",4.3,50,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"Midwest"
"Employed",2.8,41,"High School Degree","Married","White",1,"male","Winter",1,"West"
"Employed",3.7,53,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"South"
"Unemployed",5,41,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"West"
"Employed",4.2,35,"Less than High School","Not Married","White",1,"male","Winter",0,"West"
"Employed",3.5,39,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4.5,32,"Bachelor/Master's and above","Married","Black",1,"male","Winter",1,"West"
"Employed",4.1,27,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"Northeast"
"Employed",4.3,55,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"Midwest"
"Employed",5.3,28,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"South"
"Employed",2.7,50,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"Midwest"
"Employed",3.7,44,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter",0,"South"
"Employed",4.2,37,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"West"
"Employed",3.4,39,"Bachelor/Master's and above","Married","Black",1,"female","Winter",1,"South"
"Employed",2.3,33,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",4.8,38,"Less than High School","Married","Hispanic",1,"male","Winter",0,"West"
"Employed",3.7,60,"Less than High School","Married","Hispanic",1,"male","Winter",1,"Northeast"
"Employed",3,59,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"Northeast"
"Employed",3.7,41,"High School Degree","Not Married","Hispanic",0,"male","Winter",0,"South"
"Employed",3.5,26,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"South"
"Employed",3,51,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"Northeast"
"Employed",4.2,53,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Employed",3.5,34,"High School Degree","Married","White",1,"female","Winter",0,"South"
"Employed",4.2,52,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4.2,28,"High School Degree","Married","Hispanic",0,"female","Winter",0,"West"
"Not in the labor force",4.3,44,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.5,54,"High School Degree","Married","White",0,"female","Winter",0,"South"
"Employed",4.8,28,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"West"
"Employed",3.3,58,"High School Degree","Not Married","Black",0,"male","Winter",0,"South"
"Employed",4.2,27,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Employed",4.3,29,"Bachelor/Master's and above","Married","Black",1,"male","Winter",0,"Midwest"
"Employed",3.4,43,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4.2,56,"Bachelor/Master's and above","Married","Asian",0,"female","Winter",1,"West"
"Not in the labor force",4.1,30,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Employed",3.2,30,"High School Degree","Married","Hispanic",1,"male","Winter",0,"South"
"Employed",4.1,33,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Not in the labor force",4.1,52,"High School Degree","Married","White",0,"female","Winter",0,"South"
"Not in the labor force",3.4,28,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",1,"South"
"Employed",4.1,40,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",4.2,48,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"West"
"Employed",3.2,37,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"Midwest"
"Employed",3.2,39,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",4.3,48,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter",0,"Midwest"
"Employed",4.3,28,"High School Degree","Married","Asian",1,"male","Winter",0,"Midwest"
"Employed",4.2,31,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"West"
"Employed",2.9,41,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"South"
"Not in the labor force",4.1,53,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"South"
"Not in the labor force",3.2,41,"High School Degree","Married","White",1,"female","Winter",1,"Midwest"
"Employed",3.2,51,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"Midwest"
"Employed",4.2,53,"High School Degree","Married","Black",0,"male","Winter",0,"South"
"Employed",2.9,37,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"South"
"Employed",4.3,44,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"Midwest"
"Not in the labor force",3.4,59,"Less than High School","Not Married","White",0,"female","Winter",0,"South"
"Employed",4.3,41,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Employed",3.2,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4,56,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Northeast"
"Employed",3.2,29,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",3,36,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.5,27,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"South"
"Employed",3,44,"Less than High School","Not Married","Hispanic",0,"female","Winter",1,"West"
"Employed",3.7,27,"High School Degree","Not Married","White",0,"female","Winter",1,"South"
"Employed",4.2,41,"High School Degree","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",4.3,33,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"Midwest"
"Employed",3.5,35,"High School Degree","Not Married","Hispanic",0,"female","Winter",0,"South"
"Employed",4.3,48,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"Midwest"
"Employed",4.3,39,"High School Degree","Married","White",0,"male","Winter",0,"Midwest"
"Not in the labor force",4.5,58,"High School Degree","Not Married","Black",0,"female","Winter",1,"South"
"Employed",5.3,40,"Less than High School","Married","White",1,"male","Winter",0,"South"
"Employed",3.5,27,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Not in the labor force",3.5,29,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",4.3,50,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Not in the labor force",3.4,58,"Less than High School","Not Married","White",1,"female","Winter",0,"South"
"Employed",3.5,43,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Not in the labor force",3.7,57,"Less than High School","Not Married","White",0,"female","Winter",1,"South"
"Not in the labor force",3.4,55,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",3.5,56,"High School Degree","Not Married","Black",1,"female","Winter",0,"Northeast"
"Employed",3.4,52,"High School Degree","Not Married","White",0,"female","Winter",0,"South"
"Not in the labor force",4.2,51,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"West"
"Employed",3,31,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Northeast"
"Employed",4.2,38,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"West"
"Employed",4.5,59,"High School Degree","Married","White",0,"female","Winter",0,"West"
"Employed",4.2,48,"High School Degree","Married","White",1,"male","Winter",1,"West"
"Employed",4.1,30,"High School Degree","Married","White",1,"male","Winter",0,"West"
"Employed",3.7,25,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",1,"Northeast"
"Employed",4.1,32,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",3.5,33,"High School Degree","Not Married","Black",0,"female","Winter",1,"Northeast"
"Not in the labor force",4.1,55,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Not in the labor force",4.2,51,"High School Degree","Married","White",1,"female","Winter",1,"West"
"Employed",3.2,44,"High School Degree","Married","White",0,"male","Winter",0,"Midwest"
"Employed",4.5,37,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"West"
"Employed",4.3,47,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",2.9,37,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"South"
"Employed",3.2,57,"Less than High School","Married","White",0,"male","Winter",1,"Midwest"
"Employed",4,29,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.5,58,"High School Degree","Married","White",0,"female","Winter",0,"Midwest"
"Employed",4.8,33,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"West"
"Employed",4.2,39,"Less than High School","Married","Hispanic",1,"male","Winter",1,"West"
"Employed",3.2,27,"High School Degree","Not Married","White",0,"female","Winter",0,"South"
"Not in the labor force",2.8,36,"High School Degree","Not Married","Hispanic",1,"female","Winter",0,"West"
"Employed",3.4,45,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Employed",4.5,49,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",1,"South"
